.0A,COLLEGE NAME,WEBSITE,ADRESS
150,"Dr KV Subba Reddy College of Engineering for Women (KVSW), Kurnool",http://drkvsrcew.in/,
151,Dr Lankapalli Bullayya Graduate College,https://bullayyacollege.org/,
152,"Dr LB College, Visakhapatnam",https://www.bullayyacollege.org/pg-college/index.php,
153,"Dr MC Saxena College Of Medical Sciences, Lucknow",http://www.mcscms.in/,
154,"Dr MC Saxena College Of Pharmacy MCSGOC, Lucknow",https://www.mcsgoc.com/dr-mc-saxena-college-of-pharmacy.php,
155,"DR MGR Engineering College, Chennai",https://www.drmgrdu.ac.in/,
156,"Dr N R S Govt Ayurvedic College, Vijayawada",http://www.panchakarma.com/dr-n-r-shastry-government-ayurvedic-college-vijayawada-andhra-pradesh-p-183.html,
157,Dr Paul Raj Engineering College,http://www.dprec.ac.in/,
158,"Dr Samuel George Institute of Pharmaceutical Sciences, Prakasam",http://www.drsgips.ac.in/,
159,"Dr Shankar Dayal Sharma Smriti Mahavidyalaya, Bhopal",http://drsdscollegebhopal.com/,
160,"Dr. Ambedkar College, Nagpur",http://dacn.in/,
161,"Dr. R.B. Singh Gaya Homoeopathy Medical Colege & Hospital, Bodh Gaya",http://drrbsinghghmchgaya.org/,
162,"Durama College, Tura",https://duramacollege.in/,
163,"Durgabai Deshmukh College of Special Education, New Delhi",https://www.durgabaideshmukhcollege.org/index.html,
164,"Eastern Dooars BEd Training College, Alipurduar",http://edbdtc.org.in/,
165,"Eastern Institute For Integrated Learning In Management EIILM, Namchi",https://www.eiilm.co.in/,
166,"Einstein Academy Of Technology & Management EATM, Bhubaneswar",https://eatm.in/,
167,"Eliezer Joldan Memorial College (EJMC), Leh",http://www.ejmcollegeleh.in/,
168,"Ettumanoorappan College, Kottayam",https://ettumanoorappancollege.edu.in/,
169,"Everest Pvt ITI, Nirmand",https://everestiti.com/,
170,"Everest Pvt ITI, Rampur Bushahr",https://everestiti.in/,
171,"Faculty Of Agriculture, Govind Ballabh Pant University Of Agriculture & Technology, Pantnagar",http://www.gbpuat.ac.in/,
172,"Faculty Of Anthropology, Andhra University, Visakhapatnam",https://andhrauniversity.edu.in/,
173,"Faculty Of Anthropology, Sri Venkateswara University, Tirupati",https://www.svuniversity.edu.in/about,
174,"Faculty Of Archaeology, Andhra University, Visakhapatnam",https://andhrauniversity.edu.in/,
175,"Faculty of Nursing, Jamia Hamdard, New Delhi",http://jamiahamdard.edu/,
176,"Fairfield Institute Of Management & Technology FIMT, New Delhi",http://www.fimt-ggsipu.org/,
177,"Falakata BEd College, Falakata",https://www.falakatabedcollege.com/,
178,"Falakata College, Jalpaiguri",http://www.falakatacollege.org.in/,
179,"Footwear Design & Development Institute FDDI, Noida",https://www.fddiindia.com/,
180,"Forest College & Research Institute (FCRI), Hyderabad",http://www.fcrits.in/,
181,"Fr Agnel College Of Arts & Commerce, Pilar",https://www.fragnelcollege.edu.in/,
182,"Frankfinn Institute Of Air Hostess Training, Dehradun",https://www.frankfinn.com/,
183,"Future Institute of Technology (FIT), Garia, Kolkata",http://www.future-technology.in/,
184,"G D Bagaria Teachers Training College, Giridih",http://www.gdbagariateachertrainingcollege.org/,
185,G Pulla Reddy Engineering College,http://www.gprec.ac.in/,
186,"Galaxy Pvt ITI, Paonta Sahib",http://galaxyprivateiti.org/,
187,"Gandhi Institute For Technology GIFT, Bhubaneswar",https://college.gift.edu.in/,
188,Gandhi Institute of Technology & Management,https://www.gitam.edu/,
189,"Gate Institute of Technology And Management Sciences, Tirupati",http://www.gatetirupati.com/,
190,"Gateway College Of Architecture And Design GCAD, Sonipat",https://gateway.edu.in/gcad/,
