.0A,COLLEGE NAME,WEBSITE,ADRESS
409,"Khandelwal Vaish Girls Institute Of Technology (KVGIT), Jaipur",https://www.indcareer.com/rajasthan/jaipur/www.kvgit.in,
410,"Khelhoshe Polytechnic, Zunheboto",http://kpanagaland.org.in/,
411,"Khrawsing Christian College, Mawphlang",http://www.khrawsingchristiancollege.in/,
412,"KJ Somaiya Polytechnic - Somaiya Vidyavihar, Mumbai",https://polytechnic.somaiya.edu.in/polytechnic,
413,"Koneru Lakshmaiah College of Engineering, Guntur",https://www.indcareer.com/andhra-pradesh/guntur/www.kice.ac.in,
414,"Kongunadu College Of Nursing, Coimbatore",https://www.kongunadunursingcollege.com/,
415,"Kottam College of Engineering, kurnool",http://www.ktmk.in/,
416,"Krupajal Industrial Training Centre KITC, Bhubaneswar",http://www.krupajal.ac.in/iti.php,
417,"KSR Memorial College Of Engineering, Cuddapah",https://www.ksrmce.ac.in/,
418,"Kumbi College, Bishnupur",https://www.kumbicollege.com/,
419,"Kurnool Medical College, Kurnool",https://kurnoolmedicalcollege.in/,
420,"KV Ranga Reddy Degree College For Women, Hyderabad",http://kvrrdcw.ac.in/,
421,"KVM Institute Of Paramedical Sciences, Alappuzha",http://kvminstituteofparamedicalsciences.in/,
422,"Lady Reading Health School, Delhi",https://www.ladyreadinghealthschool.com/,
423,Laki Reddy Bali Reddy College of Engineering,https://www.lbrce.ac.in/,
424,"Lakshmi College Of Science Technology & Management, Thrissur",http://lakshmicollege.com/,
425,"Lal Bahadur Shastri PG College, Jaipur",https://www.lbscollege.com/,
426,"Langta Baba College, Mirjaganj",https://langtababacollege.in/,
427,"Law College, Dhanbad",https://www.lawcollegedhanbad.ac.in/,
428,"LBS Centre For Science & Technology, Thiruvananthapuram",https://lbscentre.in/,
429,"Liberal College, Luwangsangbam",http://www.theliberalcollege.org/,
430,"Lilong Haoreibi College, Lilong",http://www.lhcollege.in/,
431,"LMS Law College, Imphal",http://lmslawcollege.com/,
432,"Lunglei Government College, Lunglei",http://lgc.ac.in/,
433,"M G College, Raneshwar",https://www.mgrcollege.org/,
434,"Maa Santoshi Industrial Training Institute, Bilaspur",http://itimaasantoshi.org/,
435,"Madan Mohan Mahalviya Engineering College, Gorakhpur",http://www.mmmut.ac.in/,
436,"Madan Mohan Malviya PG College, Bhatpar Rani",http://mmmpgc.ac.in/,
437,Madanapalle Institute of Technology & Science,https://www.mits.ac.in/,
438,"Mahalaxmi Jagdamba Arts Commerce & Science College, Nagpur - M.J.College",https://www.mjcolleges.com/index.html,
439,"Mahant Bachittar Singh College Of Engineering & Technology MBSCET, Jammu",http://www.mbscet.in/,
440,"Maharishi Markandeshwar College Of Dental Sciences And Research MMCDSR, Ambala",https://www.mmumullana.org/institute/dental-sciences/,
441,"Maharshi Valmiki College Of Education, New Delhi",https://www.mvce.ac.in/,
442,"Mahati College of Pharmacy, Madanaplle",http://mahathicollegeofpharmacy.in/,
443,"Mahatma Gandhi College, Guntur",http://www.mahatmagandhicollege.com/,
444,"Mahatma Gandhi Degree College, Guntur",http://www.mahatmagandhicollege.com/,
445,"Mahatma Gandhi Dental College & Hospital, Jaipur",https://mgumst.org/dental-college/,
446,"Mahatma Gandhi Government College (MGGC), Mayabunder",http://www.and.nic.in/,
447,"Mahe Co Operative College Of Teacher Education, Mahe",http://www.mahecooperativecollege.com/mccte/,
448,"Malik Sandal Institute of Art & Architecture, Bijapur",https://msiaa.secab.org/,
449,"Malwa College Of Nursing, Kotkapura",https://malwa.org/malwacollegeofnursing.php,
450,"Manda Institute Of Technology MIT, Bikaner",http://mitbikaner.ac.in/,
451,"Mandar College, Mandar",http://www.mandarcollegemandar.org/,
452,Manipur Institute of Technology (MIT Imphal),https://mitimphal.in/,
453,"Maris Stella College, Vijayawada",http://www.marisstella.ac.in/,
454,"Maryland Institute Of Technology & Management MITM, Jamshedpur",http://www.mditm.com/,
455,"Master Institute of Management Science And Technology, Nellore",http://masterkavali.com/,
456,"Mata Balasundry Pvt ITI, Nahan",http://mbsitinahan.org/,
457,"Mata Parvati Industrial Training Institute, Nurpur",https://www.mataparvatiiti.org/,
458,"Maulana Azad College Of Technology, Bhopal",http://www.manit.ac.in/,
459,"Maulana Azad Institute Of Dental Sciences, New Delhi",http://maids.ac.in/,
460,"Mawlai Presbyterian College, Shillong",http://mawlaipresbyteriancollege.org/,
461,"Mawsynram Border Area College, Mawsynram",http://www.mawsynramborderareacollege.com/,
462,"Mayai Lambi College, Imphal",http://www.mayailambicollege.in/,
463,"MC Saxena College Of Engineering And Technology MCSCET, Lucknow",https://www.mcsgoc.com/dr-mc-saxena-college-of-engineering-and-technology.php,
464,"MES College Of Arts & Commerce, Zuarinagar",https://www.mescollege.org/,
465,"MES College Of Nursing, Malappuram",http://nursing.mesams.com/,
466,"MES Dental College, Malappuram",http://dentist.mesams.com/,
467,"MGM Medical College & Hospital, Aurangabad",https://www.mgmmcha.org/,
468,"Michael Madhusudan Dutta College, Sabroom",http://www.mmdcollege.in/,
469,"Microtek Institute Of Information Technology MIIT, Varanasi",https://microtek.ac.in/users/miit,
470,"Milanjyoti College, Itervita",https://www.milanjyoticollege.com/,
471,"Millat College, Parsa",http://www.millatcollegeparsa.com/,
472,"Mirik College, Darjeeling",https://mirikdegreecollege.in/,
473,"MISB Bocconi, Mumbai",https://sdabocconiasiacenter.com/,
474,"Mittaso College Of Education, Narwana",http://www.mittasocoe.com/,
475,"Mizoram College Of Nursing, Aizawl",https://mcon.mizoram.gov.in/,
476,"Model Institute Of Education And Research, Jammu",https://www.mier.in/,
477,"Modern College, Kohima",https://mck.co.in/,
478,"Modern Pvt Industrial Training Institute, Pragpur",http://mpvtitipragpur.com/,
479,"Moreh College, Moreh",http://www.morehcollege.com/,
480,"Mother Teresa Institute Of Science And Technology MIST, Khammam",https://www.mistech.ac.in/,
481,"Mother Theresa Degree College, Palamaner",http://mtideg.edu.in/,
482,"Mother Theresa Post Graduate and Research Institute of Health Sciences, Pondicherry",https://mtihs.py.gov.in/,
483,"Moulana Abul Kalam Azad Teachers Training College, Itahar",http://makattc.org.in/,
484,"Mount Everest College, Senapati",http://www.mounteverestcollege.com/,
485,"Mount Olive College, Kohima",https://www.mtolivecollege.in/,
486,"Mount Tiyi College, Wokha",https://www.mounttiyicollege.com/,
487,"MRM College, Darbhanga",https://mrmclnmu.ac.in/,
488,"Mrs AVN College, Visakhapatnam",http://www.avncollege.ac.in/,
489,"MSN Degree College, Kakinada",http://msndc.co.in/web/,
490,"MSR Degree College, Kavali",http://msrdegreecollege.com/,
491,"Munna Lal & Jai Narayan Khemka Girls College, Saharanpur",https://mljnkgirlscollege.com/,
492,"Mushalpur College, Mushalpur",https://www.mushalpurcollege.ac.in/,
493,"Muzaffarpur Homoeopathic Medical College & Hospital, Muzaffarpur",http://muzaffarpurmhmch.com/,
494,"Nalanda Institute Of Engineering & Technology (NIET), Guntur",http://www.ngi.ac.in/about_ngi.aspx,
495,"Nalanda Institute Of Management Studies (NIMS), Guntur",http://www.ngi.ac.in/under_construction.html,
496,"Nalbari Law College, Nalbari",http://nalbarilawcollege.org/,
497,"Nalini Arvind & TV Patel Arts College, Anand",http://www.natvpatelarts.edu.in/,
498,"Nambol L Sanoi College, Nambol",http://www.nlscollege.in/,
499,"Namgyal Institute Of Tibetology, Gangtok",http://tibetology.net/,
500,Shri Ram College of Commerce,SRCC,
501,"Vignan Institute of Technology And Management(VITAM), Brahmapur",http://vitam.edu.in/vitam/,
